Season,Episode,Entity,Type
1,1,Bru Artisan Coffee,Place
1,2,River Mountain High,Place
1,2,TC Topps,Business
1,2,Wilson's,Business
1,3,Laser Spine Specialists,Business
1,3,Superstar Tracks Records,Place
1,5,Wiener Hall,Place
1,5,The Pig in the Blanket,Place
1,6,Fenton's Stables and Horse Ranch,Place
1,6,Trosper Co.,Business
1,6,Stanzo Brand Fedoras,Business
2,1,Sierra,Business
2,1,Corncob TV,Business
2,1,Fairfield Mall,Place
2,1,George X,Business
2,1,Mason's Traveling Corporate Competitions,Business
2,1,Little Buff Boys,Business
2,1,Larboard Oaks Mansion,Place
2,2,Tabbitoe,Business
2,2,Dan Flashes,Place
2,2,The Shops at the Creeks,Place
2,2,Del Omni Hotel and Atrium,Place
2,2,Yellow Smokes,Place
2,2,Panetteria di Cantozi,Place
2,2,Blue Dolphin,Place
2,2,Truffoni's,Place
2,2,Chikaleny's,Place
2,3,Mountain Valley University,University
2,3,Amstar,Business
2,3,Graham's Lorelai Lounge,Place
2,3,Lamador Pictures,Business
2,3,District Films,Business
2,3,Carber Co. Technologies,Business
2,3,Qualstarr,Business
2,3,Nortrip,Business
2,4,Calico Cut Pants,Business
2,4,W Doh W,Business
2,5,Stable of Stars,Business
2,6,Cars Are Really Safe,Business
